Country:,Count:,Latitude:,Longitude:
Aegean Sea,1,39.019184,25.268555
Afghanistan,47,33.93911,67.709953
Africa,1,-8.783195,34.508522
Albania,2,41.153332,20.168331
Algeria,24,28.033886,1.659626
American Samoa,2,-14.270972,-170.132217
Andaman Sea,1,11.287888,95.729982
Angola,43,-11.202692,17.873887
Antarctica,1,-75.250973,-0.071389
Antigua,2,17.060816,-61.796428
Argentina,45,-38.416097,-63.616672
Armenia,4,40.069099,45.038189
Atlantic Ocean,19,-14.599413,-28.673147
Australia,69,-25.274398,133.775136
Austria,4,47.516231,14.550072
Azerbaijan,11,40.143105,47.576927
Bahamas,7,25.03428,-77.39628
Bahrain,2,25.930414,50.637772
Baltic Sea,1,58.487952,19.863281
Bangladesh,4,23.684994,90.356331
Barbados,2,13.193887,-59.543198
Belarus,1,53.709807,27.953389
Belgium,19,50.503887,4.469936
Benin,2,9.30769,2.315834
Bermuda,2,32.321384,-64.75737
Bhutan,1,27.514162,90.433601
Black Sea,1,43.413029,34.299316
Bolivia,48,-16.290154,-63.588653
Borneo,1,0.961883,114.55485
Bosnia-Herzegovina,2,43.915886,17.679076
Botswana,1,-22.328474,24.684866
Brazil,175,-14.235004,-51.92528
British Cameroons,1,4.159302,9.243536
British Columbia Canada,1,53.726669,-127.647621
British Virgin Islands,1,18.430214,-64.444984
Brunei,1,4.535277,114.727669
Bulgaria,14,42.733883,25.48583
Burma,13,16.871311,96.199379
Caicos Islands,1,21.804132,-72.305832
Cambodia,5,12.565679,104.990963
Cameroon,14,7.369722,12.354722
Canada,133,56.130366,-106.346771
Canary Islands,5,28.291565,-16.629129
Cape Verde,2,16.095011,-22.807835
Central African Republic,3,6.611111,20.939444
Chad,2,15.454166,18.732207
Chechnya,2,43.3168796,45.6814856
Chile,25,-35.675147,-71.542969
China,95,35.86166,104.195397
Colombia,153,4.570868,-74.297333
Comoro Islands,3,-11.875001,43.872219
Comoros,2,-11.875001,43.872219
Congo,46,-0.228021,15.827659
Cook Islands,1,-18.857952,-159.785278
Costa Rica,12,9.748917,-83.753428
Crete,2,35.417416,24.530005
Croatia,4,45.1,15.2
Cuba,16,21.521757,-77.781167
Cyprus,4,35.126413,33.429859
Czech Republic,3,49.817492,15.472962
Czechoslovakia,14,50.073658,14.41854
Denmark,11,56.26392,9.501785
Djibouti,4,11.825138,42.590275
Dominican Republic,6,18.735693,-70.162651
