Operator,Total Fatalities,Total Aboard,%ofFatalities,Continent
Aeroflot,7362,10367,71.01534544,Asia
Air France,1717,2866,59.90928123,Europe
American Airlines,1422,2122,67.01225259,Americas
Pan American World Airways,1303,3097,42.07297385,Americas
United Air Lines,1019,2461,41.40593255,Americas
Avianca,951,1077,88.30083565,Americas
Turkish Airlines (THY),890,956,93.09623431,Europe
Indian Airlines,860,1451,59.26946933,Asia
China Airlines (Taiwan),847,1590,53.27044025,Asia
Air India,827,927,89.21251348,Asia
Trans World Airlines,784,1577,49.71464807,Americas
Japan Air Lines,764,1094,69.83546618,Asia
Pakistan International Airlines,743,840,88.45238095,Asia
Korean Airlines,712,1449,49.13733609,Asia
Eastern Air Lines,696,1357,51.28960943,Americas
Malaysia Airlines,671,690,97.24637681,Asia
KLM Royal Dutch Airlines,635,817,77.72337821,Europe
Pan American World Airways / KLM,583,644,90.52795031,Americas
Garuda Indonesia Airlines,571,1200,47.58333333,Asia
British Overseas Airways,551,811,67.94081381,Europe
Iran Air,548,655,83.66412214,Asia
British European Airways,512,621,82.44766506,Europe
Ceskoslovenske Aerolinie,504,626,80.51118211,Europe
Egyptair,497,591,84.09475465,Africa
Iberia Airlines,482,530,90.94339623,Europe
Cubana de Aviacion,479,609,78.65353038,Americas
Alitalia,471,595,79.15966387,Europe
Ethiopian Airlines,470,654,71.86544343,Africa
Northwest Orient Airlines,467,650,71.84615385,Americas
Royal Jordanian Airlines,463,508,91.14173228,Asia
Philippine Air Lines,456,1712,26.63551402,Asia
Varig,423,655,64.58015267,Americas
Lot Polish Airlines,416,513,81.09161793,Europe
Swissair,411,571,71.97898424,Europe
Sabena,405,496,81.65322581,Europe
Air Vietnam (South Vietnam),400,515,77.66990291,Asia
VASP,388,719,53.96383866,Americas
Deutsche Lufthansa,383,499,76.75350701,Europe
Thai Airways,358,442,80.99547511,Asia
Balkan Bulgarian Airlines,356,562,63.34519573,Europe
Saudi Arabian Airlines,698,989,70.57633974,Asia
Aerolineas Argentinas,341,443,76.9751693,Americas
Mexicana,337,453,74.39293598,Americas
United Arab Airlines,337,342,98.5380117,Asia
South African Airways,336,346,97.10982659,Africa
China National Aviation Corporation,331,417,79.3764988,Asia
Merpati Nusantara Airlines,311,421,73.87173397,Asia
TAM (Brazil),310,488,63.52459016,Americas
Air Algerie,303,321,94.39252336,Africa
Linea Aeropostal Venezolana,303,368,82.33695652,Americas
